"Prefix","Group","Reason","OriginalRelativePath","NewRelativePath","Extension"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","1500 LİSTE.xlsx","ICH_0001_1500 LİSTE.xlsx",".xlsx"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","TARTIM KONVOYOR_R1.SLDASM","ICH_0002_TARTIM KONVOYOR_R1.SLDASM",".SLDASM"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\1012_M10_1 ADET.bak","100_DXF\ICH_0003_1012_M10_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\1015_10mm_1 ADET.bak","100_DXF\ICH_0004_1015_10mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\1112_3mm_1 ADET.bak","100_DXF\ICH_0005_1112_3mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\1152_4mm_1 ADET.bak","100_DXF\ICH_0006_1152_4mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\1153_4mm_1 ADET.bak","100_DXF\ICH_0007_1153_4mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\521_10_mm_4 ADET.bak","100_DXF\ICH_0008_521_10_mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\551_10mm_4 ADET.bak","100_DXF\ICH_0009_551_10mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\552_10mm_8 ADET.bak","100_DXF\ICH_0010_552_10mm_8 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\553_10mm_4 ADET.bak","100_DXF\ICH_0011_553_10mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\562_10mm_4 ADET.bak","100_DXF\ICH_0012_562_10mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\563_3mm_4 ADET.bak","100_DXF\ICH_0013_563_3mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\632_6mm_4 ADET.bak","100_DXF\ICH_0014_632_6mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\660_5mm_6 ADET.bak","100_DXF\ICH_0015_660_5mm_6 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\661_10mm_2 ADET.bak","100_DXF\ICH_0016_661_10mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\662_10mm_4 ADET.bak","100_DXF\ICH_0017_662_10mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\663A_10mm_2 ADET.bak","100_DXF\ICH_0018_663A_10mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\663_10mm_2 ADET.bak","100_DXF\ICH_0019_663_10mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\664_10mm_1 ADET.bak","100_DXF\ICH_0020_664_10mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\665_10mm_1 ADET.bak","100_DXF\ICH_0021_665_10mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\666_5mm_6 ADET.bak","100_DXF\ICH_0022_666_5mm_6 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\681_10mm_2 ADET.bak","100_DXF\ICH_0023_681_10mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\682_10mm_2 ADET.bak","100_DXF\ICH_0024_682_10mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\694_8mm_4 ADET.bak","100_DXF\ICH_0025_694_8mm_4 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\712_4mm_2 ADET.bak","100_DXF\ICH_0026_712_4mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\911_2mm_2 ADET.bak","100_DXF\ICH_0027_911_2mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\913A_3mm_1 ADET.bak","100_DXF\ICH_0028_913A_3mm_1 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\920A_10mm_2 ADET.bak","100_DXF\ICH_0029_920A_10mm_2 ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\920_10_mm_2ADET.bak","100_DXF\ICH_0030_920_10_mm_2ADET.bak",".bak"
"ICH","İç Hizmet","Varsayilan ic hizmet grubu.","100_DXF\950_2mm_1 ADET.bak","100_DXF\ICH_0031_950_2mm_1 ADET.bak",".bak"
"DXF","DXF Kesim","DXF uzantisi.","100_DXF\MAL_751_5mm_1 adet.DXF","100_DXF\DXF_0032_MAL_751_5mm_1 adet.DXF",".DXF"
"DXF","DXF Kesim","DXF uzantisi.","100_DXF\MAL_753_5mm_2 adet.DXF","100_DXF\DXF_0033_MAL_753_5mm_2 adet.DXF",".DXF"
"DXF","DXF Kesim","DXF uzantisi.","100_DXF\MAL_754_5mm_2 adet.DXF","100_DXF\DXF_0034_MAL_754_5mm_2 adet.DXF",".DXF"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1100 ENCODER\1100_ENCODER MONTAJ.SLDASM","1100_ELEKTRİK\1100 ENCODER\ELK_0035_1100_ENCODER MONTAJ.SLDASM",".SLDASM"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1100 ENCODER\1111_ARABA_E50S8-8000-3-V-5_E50S8-8000-3-V-24_(338).SLDPRT","1100_ELEKTRİK\1100 ENCODER\ELK_0036_1111_ARABA_E50S8-8000-3-V-5_E50S8-8000-3-V-24_(338).SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1100 ENCODER\ARC_1112_SAC.SLDPRT","1100_ELEKTRİK\1100 ENCODER\ELK_0037_ARC_1112_SAC.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1100 ENCODER\SA_1102_SAC.SLDPRT","1100_ELEKTRİK\1100 ENCODER\ELK_0038_SA_1102_SAC.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\1152_SAC REDUKTOR.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0039_1152_SAC REDUKTOR.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\1153_SAC REDUKTOR.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0040_1153_SAC REDUKTOR.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\132E80_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0041_132E80_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\2E80M_DA_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0042_2E80M_DA_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\K103_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0043_K103_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\KL_2E80_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0044_KL_2E80_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1.err","1100_ELEKTRİK\1150_MOTOR\ELK_0045_KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1.err",".err"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1.SLDASM","1100_ELEKTRİK\1150_MOTOR\ELK_0046_KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1.SLDASM",".SLDASM"
"STP","STEP Dosyası","STEP uzantisi.","1100_ELEKTRİK\1150_MOTOR\KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1.step","1100_ELEKTRİK\1150_MOTOR\STP_0047_KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1.step",".step"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1_STEP_0 (1).zip","1100_ELEKTRİK\1150_MOTOR\ELK_0048_KR_10_3_0_2E80M_DA_ML115A_0_0_0_1_0_0_P1_A_0_0_0_0_M1_STEP_0 (1).zip",".zip"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\ML115A_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0049_ML115A_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\MOTOR_REDUKTOR.SLDASM","1100_ELEKTRİK\1150_MOTOR\ELK_0050_MOTOR_REDUKTOR.SLDASM",".SLDASM"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\RK_2E80_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0051_RK_2E80_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1150_MOTOR\T_2E80_1_Varsay_X2_0131_X0_lan.SLDPRT","1100_ELEKTRİK\1150_MOTOR\ELK_0052_T_2E80_1_Varsay_X2_0131_X0_lan.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1200_LOADCELL\1200_FLINTEC_PC6 LOADCELL.SLDASM","1100_ELEKTRİK\1200_LOADCELL\ELK_0053_1200_FLINTEC_PC6 LOADCELL.SLDASM",".SLDASM"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1200_LOADCELL\1210_MZR6060.SLDPRT","1100_ELEKTRİK\1200_LOADCELL\ELK_0054_1210_MZR6060.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1200_LOADCELL\1211_MZR6060.SLDPRT","1100_ELEKTRİK\1200_LOADCELL\ELK_0055_1211_MZR6060.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1200_LOADCELL\1212_SAC.SLDPRT","1100_ELEKTRİK\1200_LOADCELL\ELK_0056_1212_SAC.SLDPRT",".SLDPRT"
"ELK","Elektrik","ELEKTRIK/ENCODER ifadesi.","1100_ELEKTRİK\1200_LOADCELL\1213_M10 TİJ.SLDPRT","1100_ELEKTRİK\1200_LOADCELL\ELK_0057_1213_M10 TİJ.SLDPRT",".SLDPRT"
"TRN","Torna Freze","TORNA/FREZE/MIL ifadesi.","1100_ELEKTRİK\1200_LOADCELL\1214_mil.SLDPRT","1100_ELEKTRİK\1200_LOADCELL\TRN_0058_1214_mil.SLDPRT",".SLDPRT"
